num,Tamaina,k,Eraikitzailea,ILS,ILS time,ILS originala,ILS time originala
0,100,5,-0.008250083768942115,0.060226629699314235,12.751320600509644,0.060665375318800216,13.636909246444702
1,100,5,0.004474773361044451,0.0631710385929533,12.479711532592773,0.06300473487361226,12.975496053695679
2,100,5,0.028114893346555356,0.06326113263014732,12.566832780838013,0.06362058315525362,13.045663595199585
3,100,5,0.004292425498093524,0.061990868413956186,13.122849225997925,0.06428703219751081,12.288849592208862
4,100,5,0.01940878564962429,0.06333765085351759,13.060177326202393,0.0630466964799766,12.428856134414673
5,100,5,0.04836167695857341,0.06532342216646539,11.825258016586304,0.06436817853923009,11.620855569839478
6,100,5,0.04460765589508117,0.06490102923181257,12.14551591873169,0.0636998782496333,12.281567335128784
7,100,5,0.007785729227924956,0.06403341131198517,11.61488652229309,0.064769899211924,12.236166954040527
8,100,5,0.000421775852206287,0.06201586025304083,11.651322364807129,0.06301615089887314,11.515370607376099
9,100,5,0.031007158773462246,0.06332314941602403,12.090421438217163,0.06152466262559942,12.574003458023071
10,100,5,0.013215437674981442,0.06183814050843891,11.76748251914978,0.06293006789758158,11.786224126815796
11,100,5,0.03071188482279552,0.06529102533802233,11.855214357376099,0.05863054595135292,11.98645806312561
12,100,5,-0.005168991113395687,0.062255288242296196,11.525960683822632,0.06243547631668424,11.906480312347412
13,100,5,0.0009561692509051055,0.06281590764497272,11.749956369400024,0.062901682105041,12.127675294876099
14,100,5,0.026646545665026666,0.06422655811775044,12.46060824394226,0.05911403004821264,12.09434461593628
15,100,5,0.010189882439623111,0.06554279497620838,11.902170658111572,0.06290723584705982,12.802706241607666
16,100,5,0.03744857389161194,0.06467641122127403,12.607483386993408,0.051923168298746894,12.396355152130127
17,100,5,0.04690659654964521,0.06426574285310538,12.16303563117981,0.05806529843032738,12.463348388671875
18,100,5,0.0077690680018685275,0.06402384653406387,12.283588647842407,0.06299455301324444,12.279901266098022
19,100,5,0.02699766557710476,0.06418552213505589,12.255565404891968,0.06405500919761387,12.157867193222046
20,100,5,0.01592628086260721,0.06459341363221516,12.134803056716919,0.06390228129209659,12.078008890151978
21,100,5,0.03151810303919276,0.06381897516181445,11.90933108329773,0.06029420022720976,11.868278741836548
22,100,5,0.0034096890583260155,0.06274062358649553,11.727586269378662,0.06356134324038631,11.78812837600708
23,100,5,0.03405955709524483,0.06491491358685961,11.72864294052124,0.06260363128336488,11.875197887420654
24,100,5,0.005120550141342737,0.06499636846980214,11.708581686019897,0.06252803868366441,11.759336948394775
25,100,5,0.0009972052335996454,0.060809155528842744,11.656872749328613,0.06360021943451799,11.85253095626831
26,100,5,0.028998863951215932,0.06378688687459465,11.770734786987305,0.06201184921713835,11.783457279205322
27,100,5,0.01679420732365789,0.06406549959920495,12.251444816589355,0.06175298313081717,12.07040286064148
28,100,5,-0.00926209898125859,0.05985946564362625,12.862544775009155,0.06100291941705456,12.483079671859741
29,100,5,0.013937732678649997,0.06391092044634808,14.448676824569702,0.06296832700926673,12.738132953643799
30,100,5,0.035494890865883914,0.06604787695869682,13.119420289993286,0.057674068159224545,14.940516233444214
31,100,5,0.041370441380561535,0.06386031968573225,11.736726999282837,0.06367612057544172,13.32974648475647
32,100,5,0.008288959963073786,0.060070199299117756,11.746387243270874,0.059238372161189344,11.60368537902832
33,100,5,0.0007269231220175636,0.06315160049588746,11.74162483215332,0.06438669101262612,11.681082725524902
34,100,5,-0.002764220819250997,0.061148859415659944,11.605386972427368,0.06639961395322144,11.703127384185791
35,100,5,0.023851470723448946,0.06435707105519248,11.645882368087769,0.06093072077081002,11.796824932098389
36,100,5,0.019554417107006415,0.060925167028791215,11.549264907836914,0.06157649755110832,11.478927373886108
37,100,5,-0.007433066609730525,0.06437527498736524,11.506732702255249,0.06259653483522973,11.5082266330719
38,100,5,0.014850089075851156,0.06303096087758998,11.817607402801514,0.06482019143131657,12.186404705047607
39,100,5,0.010870524378150592,0.062329955218326856,11.45442271232605,0.06183196968397356,11.648592472076416
40,100,5,0.00572436531527668,0.06034387536415578,12.123398065567017,0.06121858973211834,11.49572467803955
41,100,5,-0.004649716234636959,0.06251230308127778,11.538722515106201,0.06464370585160771,12.12863302230835
42,100,5,0.004239047866468295,0.06085296838254669,11.403452157974243,0.0619060195775577,11.622577905654907
43,100,5,0.005315239653224349,0.06180728638611219,11.554687738418579,0.0652780666066451,11.532374620437622
44,100,5,0.0016136705976875468,0.060955095527448135,12.238839864730835,0.05982336632050399,11.631885766983032
45,100,5,0.034020063818666624,0.06365606539592936,13.242323398590088,0.06412998471486779,12.749714136123657
46,100,5,0.032959916175520465,0.06534193463986143,13.25802493095398,0.06019454141209446,12.361204624176025
47,100,5,0.03379883976158403,0.0637816416737991,11.80115818977356,0.061128495694924304,12.407441139221191
48,100,5,0.014583818000171549,0.06311673533765827,12.545833587646484,0.06538667311723517,12.278532981872559
49,100,5,0.004284711967511844,0.06523332812927136,11.85110330581665,0.06311056451319291,12.552804231643677
50,100,5,0.03523926446240703,0.06698815633660367,11.04940938949585,0.0654368110660161,10.893120288848877
51,100,5,0.008190998124686447,0.06842441573091257,11.165251016616821,0.06864070312842288,10.806653261184692
52,100,5,0.01287125994042686,0.0664136525788801,11.59307861328125,0.06689898792307944,11.980165004730225
53,100,5,0.012958577106611484,0.06714551236046994,11.96607255935669,0.06544575876149084,11.505796432495117
54,100,5,-5.785147936260282e-05,0.06762313417408759,12.106604814529419,0.06839942389182792,11.983629703521729
55,100,5,0.034377817367044955,0.06852808558193034,12.57687258720398,0.06742319946141044,12.368700981140137
56,100,5,-0.0047347193416470805,0.06812605636801317,12.051875829696655,0.06409403966235716,12.275538444519043
57,100,5,0.002914017583147231,0.06711805219159916,12.569632530212402,0.0663355916493935,12.24331283569336
58,100,5,0.02191583735928206,0.06836980393439426,12.837182998657227,0.06783726178303505,12.477539777755737
59,100,5,0.0087457552441209,0.06834882313121209,12.363616466522217,0.06642753693392714,12.397074222564697
60,100,5,-0.0057874619954348255,0.06652781283148898,12.77399730682373,0.0671007738830962,12.481136322021484
61,100,5,-0.005291019167197872,0.06804737835608002,13.170053005218506,0.06445719268214267,12.311894416809082
62,100,5,-0.003890242013564706,0.06831735192643884,13.371071100234985,0.06445163894012387,12.886436700820923
