,Tamaina,Gamma,Beta,Erakitzailea,ILS,ILS time
16,100,0.4,0.3,0.033167780397635585,0.08381747565146937,12.78650164604187
17,100,0.4,0.4,0.01829680308096924,0.07345144702748299,12.652835798263549
18,100,0.4,0.5,0.007123599762793508,0.058560877343139195,12.766416645050048
19,100,0.4,0.6,0.012541089977408609,0.050359049421516054,12.054146862030029
,100,0.4,0.7,0.04345880265024569,0.08645624360933993,13.524967670440674
20,100,0.5,0.3,0.03497617136132707,0.08235816822778241,12.210466814041137
21,100,0.5,0.4,0.025025624348592346,0.0680703338230911,11.616733026504516
22,100,0.5,0.5,0.012462998193799677,0.0749162464849441,12.042516660690307
23,100,0.5,0.6,0.022436315548811533,0.0810559391408608,13.837851905822754
,100,0.5,0.7,0.02111680815338695,0.06315573494827922,12.766541051864625
24,100,0.6,0.3,0.017546214847127078,0.06602223718304331,12.215115118026734
25,100,0.6,0.4,0.021056704323094495,0.07297086321812199,12.066691732406616
26,100,0.6,0.5,0.023405011573381283,0.07515033671103695,11.996637725830078
27,100,0.6,0.6,0.020977038979246902,0.05843770768681091,12.246606349945068
,100,0.6,0.7,0.004134668370636996,0.054106313432218736,12.824507427215575
28,100,0.7,0.3,0.017800637939833226,0.06784226015085197,11.85992727279663
29,100,0.7,0.4,0.007631366053924368,0.0551321512913376,11.105378007888794
30,100,0.7,0.5,0.009270799843754724,0.06399879298673458,11.602987241744994
31,100,0.7,0.6,0.0083478604825955,0.06442134019199904,12.336823892593383
,100,0.7,0.7,0.020402689492134977,0.07477018306984942,13.259680366516113
,100,0.8,0.3,0.007819020825915488,0.0696026729543254,13.14239010810852
,100,0.8,0.4,0.017699960938681137,0.074098519680919,12.491159343719483
,100,0.8,0.5,0.01335354072651585,0.06634142307851325,13.032987213134765
,100,0.8,0.6,0.00524473798370779,0.0689261654681897,12.659230089187622
,100,0.8,0.7,0.019759782145213078,0.07797256328026218,13.029221534729004
