;Tamaina;Gamma;Beta;Erakitzailea;ILS;ILS time
0;50;0.3;0.3;0.004314517049679457;0.021180305937135345;12.665356492996215
1;50;0.3;0.4;0.009887882290289158;0.021261390570609967;10.958265829086304
2;50;0.3;0.5;0.009040813215931342;0.02115229039406268;9.03245849609375
3;50;0.3;0.6;0.008473220781608969;0.02118771092649376;9.106365203857422
4;50;0.3;0.7;0.009317759817935995;0.021146242986086645;9.841732788085938
5;50;0.3;0.8;0.01288283023629938;0.021916115046383;10.002080392837524
6;50;0.3;0.9;0.010152919201075698;0.021456882289672078;10.048075723648072
7;50;0.4;0.3;0.012788046372511694;0.02191685554531884;10.110578393936157
8;50;0.4;0.4;0.010942846440884427;0.02159862612764104;10.116183090209962
9;50;0.4;0.5;0.00934454119611559;0.02148779812024345;9.839580965042114
10;50;0.4;0.6;0.010426471849624414;0.02162898658401053;9.978727674484253
11;50;0.4;0.7;0.00878774770460757;0.021421955423198226;10.025638008117676
12;50;0.4;0.8;0.0070715797125506545;0.021209185395633157;9.990474128723145
13;50;0.4;0.9;0.0055557166826388175;0.021160312465867626;9.96006145477295
14;50;0.5;0.3;0.010043819024528411;0.021039611139325492;9.972042322158813
15;50;0.5;0.4;0.008313149594977937;0.020950442725801266;9.90401062965393
16;50;0.5;0.5;0.012220021980476744;0.021156116305231194;10.058692836761475
17;50;0.5;0.6;0.01286468801237127;0.021877115435762026;10.032576990127563
18;50;0.5;0.7;0.010928221586901562;0.02098506105105185;9.964046859741211
19;50;0.5;0.8;0.010359518404175427;0.021340377123766376;9.883670043945312
20;50;0.5;0.9;0.013381124311875936;0.021349818485198353;9.83462872505188
21;50;0.6;0.3;0.00880959242321489;0.02158332248296698;9.894673156738282
22;50;0.6;0.4;0.009434511816820309;0.02089570751279366;9.948405313491822
23;50;0.6;0.5;0.012167323139542705;0.021301686054368666;10.117324733734131
24;50;0.6;0.6;0.006871027917426964;0.020628078855731678;9.983317708969116
25;50;0.6;0.7;0.00877336968360332;0.021209370520367116;10.187734222412109
26;50;0.6;0.8;0.01217349396400805;0.02167539118398992;10.002917623519897
27;50;0.6;0.9;0.008502408781330049;0.02120270602994454;9.975700759887696
28;50;0.7;0.3;0.014844411917343042;0.02150501472050176;10.089456605911256
29;50;0.7;0.4;0.006733973906051667;0.02079117374635073;9.961659002304078
30;50;0.7;0.5;0.007383082931561239;0.020800861940761316;10.060622787475586
31;50;0.7;0.6;0.007530442219793659;0.02023999570510617;10.082507038116455
32;50;0.7;0.7;0.008237186745809548;0.02101245951167798;9.860079336166383
33;50;0.7;0.8;0.00813758963893889;0.021052323037724103;9.896225786209106
34;50;0.7;0.9;0.011088724731245166;0.021565056842549564;9.934820699691773
35;50;0.8;0.3;0.01416537439317655;0.021635465949699142;9.79161376953125
36;50;0.8;0.4;0.009061547186134899;0.021244235678596308;9.93117070198059
37;50;0.8;0.5;0.008469888536397683;0.02107015672042895;9.817097616195678
38;50;0.8;0.6;0.008888517268126643;0.021578262406905396;9.797184228897095
39;50;0.8;0.7;0.009880353884441438;0.021181540102028416;9.759706068038941
40;50;0.8;0.8;0.01144897746353197;0.021239360727268692;9.95029420852661
41;50;0.8;0.9;0.00773006839124755;0.021109773413496454;9.906399583816528
42;50;0.9;0.3;0.011272738716801737;0.021215417928343153;10.083402729034423
43;50;0.9;0.4;0.008667478335778009;0.021614855395984893;10.045332336425782
44;50;0.9;0.5;0.01071421739444342;0.02127323855358343;10.129801845550537
45;50;0.9;0.6;0.012517825969174261;0.021618311057685486;10.202588272094726
46;50;0.9;0.7;0.008922395094441383;0.021132482047528926;9.8709885597229
47;50;0.9;0.8;0.008930108625023064;0.02093958207474226;9.934298133850097
48;50;0.9;0.9;0.0070984845072195575;0.0213649987133831;9.857852983474732
49;100;0.3;0.3;0.033568390321925747;0.07376637505407187;13.259591579437256
50;100;0.3;0.4;0.014667525234043943;0.07293707795417423;13.148081541061401
51;100;0.3;0.5;0.02029328077436442;0.07130649929745164;13.230695009231567
52;100;0.3;0.6;0.01607546054405691;0.07279508728322666;13.366172075271606
53;100;0.3;0.7;0.030383195857648954;0.07172006795311901;13.34032392501831
54;100;0.3;0.8;0.008535947212299196;0.07225680626511466;13.293287181854248
55;100;0.3;0.9;0.012129897089160391;0.07337668748908535;13.424781703948975
56;100;0.4;0.3;0.009486130763472916;0.07284130675847209;13.330836820602418
57;100;0.4;0.4;0.008903419809210451;0.07170241939514814;13.35531587600708
58;100;0.4;0.5;0.018730272645537352;0.0712879868240556;13.507371187210083
59;100;0.4;0.6;0.010455258745755244;0.07229031384196147;13.38146653175354
60;100;0.4;0.7;0.007431554757736518;0.07166872669356736;13.449868154525756
61;100;0.4;0.8;0.027544061229388673;0.07281773420901447;13.354774665832519
62;100;0.4;0.9;0.01758768278753419;0.07276886127924893;13.362929821014404
63;100;0.5;0.3;0.019850215577752697;0.07165052276139458;13.44313292503357
64;100;0.5;0.4;-0.003320119541211542;0.07196757972242396;13.427062559127808
65;100;0.5;0.5;0.01694048671760888;0.07092915338139584;13.479947471618653
66;100;0.5;0.6;0.026992142689208277;0.0727770067675432;13.457397651672363
67;100;0.5;0.7;0.00416428832807065;0.07263729930164779;13.416296291351319
68;100;0.5;0.8;0.018461348115337645;0.07410546185844252;13.375832891464233
69;100;0.5;0.9;0.018078633581996992;0.07108009174781814;13.386393833160401
70;100;0.6;0.3;0.0009641604685877271;0.07217917729334063;13.34873948097229
71;100;0.6;0.4;0.0053761148365749694;0.0720300901742579;13.368403053283691
72;100;0.6;0.5;0.010740721085522074;0.07194585842030596;13.296183681488037
73;100;0.6;0.6;0.017652723277398925;0.0727940999513122;13.371895360946656
74;100;0.6;0.7;0.018314605909551758;0.07277509381195893;13.4190279006958
75;100;0.6;0.8;0.006432251443818655;0.07277669822631992;13.218596267700196
76;100;0.6;0.9;0.016602078703929397;0.07068404823363235;13.244956350326538
77;100;0.7;0.3;0.03599290725435954;0.07383943761574153;13.28462324142456
78;100;0.7;0.4;0.013365049314143715;0.07161905155662134;13.241159105300904
79;100;0.7;0.5;0.027241073748140266;0.07305901344560942;13.19441752433777
80;100;0.7;0.6;0.023005049585659992;0.07357828832436816;13.237880897521972
81;100;0.7;0.7;0.021465490589801232;0.07381691410644302;13.202530574798583
82;100;0.7;0.8;0.012330016926571508;0.07325006217105648;13.095216131210327
83;100;0.7;0.9;0.027440267961881582;0.07375230557429087;13.141451692581176
84;100;0.8;0.3;0.020885433090058865;0.07352953881109192;13.125279474258424
85;100;0.8;0.4;0.016724507861321826;0.07368806729160662;13.2731219291687
86;100;0.8;0.5;0.042467459699888126;0.07256855631710386;13.225263023376465
87;100;0.8;0.6;0.00024217400614243902;0.07158511202206193;13.091964149475098
88;100;0.8;0.7;0.02166326551391552;0.07196375381125546;13.159432888031006
89;100;0.8;0.8;0.021605753429898504;0.0732288345348957;13.129758214950561
90;100;0.8;0.9;0.03741892308005596;0.0735407080033742;13.185626745223999
91;100;0.9;0.3;0.008650107464908066;0.06949369619426743;13.107671308517457
92;100;0.9;0.4;0.02034030245679035;0.07267358374950403;13.179993295669556
93;100;0.9;0.5;0.02571527569083923;0.0714879832449774;13.13382978439331
94;100;0.9;0.6;0.017128326614333958;0.07295392430496461;13.1070867061615
95;100;0.9;0.7;0.014270802929166954;0.0734596233698996;13.095583581924439
96;100;0.9;0.8;0.00811812068775073;0.07229457171084257;13.07789125442505
97;100;0.9;0.9;0.014804023871217362;0.0733478697388322;13.096270084381104
98;200;0.3;0.3;0.031104287550546773;0.20861706269989616;20.917391777038574
99;200;0.3;0.4;0.01656619535966342;0.20389335827991975;20.82563433647156
100;200;0.3;0.5;0.04834439865007044;0.20326263831131683;21.159420919418334
101;200;0.3;0.6;0.08216212113451841;0.21233189902803346;21.341377830505373
102;200;0.3;0.7;0.0321058740695168;0.20403794069714273;21.331082773208617
103;200;0.3;0.8;0.032501609042479326;0.20259119090124272;21.281638050079344
104;200;0.3;0.9;0.04405573735490077;0.20527303121388138;21.31670413017273
105;200;0.4;0.3;0.013099796424500886;0.20636656301738507;21.234442615509032
106;200;0.4;0.4;0.04860166032203064;0.2047665299417659;21.3461275100708
107;200;0.4;0.5;0.02065226848763583;0.20684307408259897;21.418322324752808
108;200;0.4;0.6;0.03232068046915544;0.20576490763201397;21.258642530441286
109;200;0.4;0.7;0.06770838411407633;0.20861959273792693;21.362299251556397
110;200;0.4;0.8;0.07395597363576957;0.20644406857266978;21.399605178833006
111;200;0.4;0.9;0.07532163879819491;0.20618686860895422;21.193463182449342
